Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Rippling,https://angel.co/company/rippling,5,Apr '17,San Francisco,"",https://www.rippling.com/,51-200,Series A,52500000
Appvance.ai,https://angel.co/company/appvance,5,Jul '13,Santa Clara,Developer Tools,http://www.appvance.ai,11-50,Series B,13500000
Must See India,https://angel.co/company/must-see-india,5,Feb '13,Bengaluru,Career Planning,http://www.mustseeindia.com,11-50,"",5000000
Junglee Games,https://angel.co/company/junglee-games,5,Sep '11,San Francisco,Mobile Games,https://www.jungleegames.com/,201-500,Seed,3500000
ClearTax,https://angel.co/company/cleartax,5,Aug '14,Bengaluru,Internet Technology,https://cleartax.in,501-1000,Series B,65420000
Zendrive,https://angel.co/company/zendrive,5,Aug '13,San Francisco,Insurance Companies,http://www.zendrive.com,51-200,"",15000000
Lookup,https://angel.co/company/lookupto,5,Dec '14,Delhi,Messaging,http://www.lookup.to,51-200,Acquired,2882000
SpringRole,https://angel.co/company/springrole,5,Feb '15,Santa Monica,Blockchains,http://springrole.com,51-200,Seed,250000
HackerRank ,https://angel.co/company/hackerrank,5,Sep '14,Mountain View,Programming,https://www.hackerrank.com/,201-500,Series C,49900000
Razorpay,https://angel.co/company/razorpay,5,Mar '15,Bengaluru,Mobile Payments,https://razorpay.com,51-200,"",11500000
Semantics3,https://angel.co/company/semantics3,5,Sep '12,San Francisco,Developer APIs,https://www.semantics3.com/,11-50,Seed,2150000
Zoom,https://angel.co/company/zoom,5,Feb '12,Bengaluru,Travel & Tourism,http://zoomcar.com,51-200,Series A,10900000
mygola.com,https://angel.co/company/mygola-com,5,Aug '10,Bengaluru,Online Travel,http://mygola.com,11-50,Series A,2658000
Plivo,https://angel.co/company/plivo,5,Nov '11,Austin,Developer APIs,http://www.plivo.com,51-200,Seed,1750000
Babajob,https://angel.co/company/babajob-1,5,Sep '12,Bengaluru,Emerging Markets,http://www.babajob.com,51-200,Acquired,10000000
bluestone.com,https://angel.co/company/bluestone-com,5,Jul '13,Bengaluru,Curated Web,http://bluestone.com,201-500,"",15000000
Headout ,https://angel.co/company/headout,5,Feb '14,San Francisco,Mobile Commerce,http://www.headout.com,51-200,Series A,12500000
HackerEarth,https://angel.co/company/hackerearth,5,Dec '12,San Francisco,College Recruiting,https://www.hackerearth.com,51-200,Series A,5000000
Simpa Networks,https://angel.co/company/simpa-networks-1,5,Jan '12,Vancouver,Rural Energy,http://www.simpanetworks.com,"","",1100000
ZoomCar India,https://angel.co/company/zoomcar-india,5,Aug '14,Bengaluru,Automotive,http://www.zoomcar.in,201-500,Series B,70200000
ZipDial,https://angel.co/company/zipdial,5,Apr '12,Bengaluru,Emerging Markets,http://www.zipdial.com,51-200,Acquired,650000
Springboard,https://angel.co/company/springboard,5,Apr '15,San Francisco,Training,http://www.springboard.com,51-200,Series A,11265000
TutorVista.com,https://angel.co/company/tutorvista-com,5,Jan '12,Bengaluru,Education,http://www.tutorvista.com,"",Series D,80750000
OurHealthMate.com,https://angel.co/company/ourhealthmate,5,Jul '12,San Francisco,Marketplaces,http://ourhealthmate.com,11-50,Closed,1492000
Instamojo,https://angel.co/company/instamojo,5,Apr '12,Bengaluru,Mobile Commerce,http://instamojo.com,51-200,Series B,10120000
Uninstall.io,https://angel.co/company/uninstall-io,5,Jun '15,Bengaluru,Mobile Advertising,http://www.uninstall.io,1-10,Acquired,1500000
Hiver,https://angel.co/company/grexit,5,Feb '11,Silicon Valley,Customer Support Tools,http://hiverhq.com,11-50,Seed,175000
Makesurehow,https://angel.co/company/makesurehow,5,Feb '16,Bengaluru,Ventures for Good,http://www.makesurehow.com,"",Acquired,200000
Eventifier,https://angel.co/company/eventifier,5,Aug '12,Bengaluru,Events,http://eventifier.com,1-10,Seed,500000
Numerify,https://angel.co/company/numerify,5,Feb '14,Chicago,Artificial Intelligence / Machine Learning,https://numerify.com,51-200,Series D,88000000
MarianaIQ,https://angel.co/company/marianaiq,5,Feb '14,San Mateo,Lead Generation,http://marianaiq.com,1-10,Seed,2000000
Unocoin,https://angel.co/company/unocoin,5,Jun '14,Bengaluru,Bitcoin,https://www.unocoin.com,51-200,Seed,2250000
ZopNow,https://angel.co/company/zopnow,5,Dec '13,Bengaluru,"",https://www.zopnow.com,11-50,"",10000000
NextDrop,https://angel.co/company/nextdrop,5,Nov '14,Bengaluru,Water,http://www.nextdrop.org,1-10,Seed,675000
Milaap Social Ventures,https://angel.co/company/milaap-social-ventures,5,Apr '12,Bengaluru,Crowdfunding,http://www.milaap.org,11-50,Series A,1100000
Overcart,https://angel.co/company/overcart,5,Oct '12,Delhi,Robotics,http://www.overcart.com,51-200,Series A,3500000
DocsApp,https://angel.co/company/docsapp,5,Oct '15,Bengaluru,Artificial Intelligence,https://www.docsapp.in,201-500,"",8400000
